location,city,country,utc,local,parameter,value,unit,attribution
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T21:00:00.000Z,2016-04-24T18:00:00-03:00,o3,90,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T21:00:00.000Z,2016-04-24T18:00:00-03:00,pm25,12,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T20:00:00.000Z,2016-04-24T17:00:00-03:00,pm25,17,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T20:00:00.000Z,2016-04-24T17:00:00-03:00,o3,94,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T20:00:00.000Z,2016-04-24T17:00:00-03:00,no2,7,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T19:00:00.000Z,2016-04-24T16:00:00-03:00,pm25,17,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T19:00:00.000Z,2016-04-24T16:00:00-03:00,no2,8,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T19:00:00.000Z,2016-04-24T16:00:00-03:00,o3,101,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T18:00:00.000Z,2016-04-24T15:00:00-03:00,no2,6,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T18:00:00.000Z,2016-04-24T15:00:00-03:00,o3,103,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T18:00:00.000Z,2016-04-24T15:00:00-03:00,pm25,16,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T17:00:00.000Z,2016-04-24T14:00:00-03:00,no2,5,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T17:00:00.000Z,2016-04-24T14:00:00-03:00,o3,94,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T17:00:00.000Z,2016-04-24T14:00:00-03:00,pm25,13,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T16:00:00.000Z,2016-04-24T13:00:00-03:00,no2,5,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T16:00:00.000Z,2016-04-24T13:00:00-03:00,pm25,5,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T16:00:00.000Z,2016-04-24T13:00:00-03:00,o3,82,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T15:00:00.000Z,2016-04-24T12:00:00-03:00,o3,70,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T15:00:00.000Z,2016-04-24T12:00:00-03:00,no2,5,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T15:00:00.000Z,2016-04-24T12:00:00-03:00,pm25,4,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T14:00:00.000Z,2016-04-24T11:00:00-03:00,pm25,6,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T14:00:00.000Z,2016-04-24T11:00:00-03:00,no2,9,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T14:00:00.000Z,2016-04-24T11:00:00-03:00,o3,68,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T13:00:00.000Z,2016-04-24T10:00:00-03:00,no2,16,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T13:00:00.000Z,2016-04-24T10:00:00-03:00,pm25,17,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T13:00:00.000Z,2016-04-24T10:00:00-03:00,o3,47,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T12:00:00.000Z,2016-04-24T09:00:00-03:00,o3,23,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T12:00:00.000Z,2016-04-24T09:00:00-03:00,no2,58,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T12:00:00.000Z,2016-04-24T09:00:00-03:00,pm25,33,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T11:00:00.000Z,2016-04-24T08:00:00-03:00,o3,6,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T11:00:00.000Z,2016-04-24T08:00:00-03:00,no2,53,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T11:00:00.000Z,2016-04-24T08:00:00-03:00,pm25,36,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T10:00:00.000Z,2016-04-24T07:00:00-03:00,o3,2,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T10:00:00.000Z,2016-04-24T07:00:00-03:00,no2,43,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T10:00:00.000Z,2016-04-24T07:00:00-03:00,pm25,48,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T09:00:00.000Z,2016-04-24T06:00:00-03:00,no2,44,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T09:00:00.000Z,2016-04-24T06:00:00-03:00,pm25,54,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T09:00:00.000Z,2016-04-24T06:00:00-03:00,o3,2,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T08:00:00.000Z,2016-04-24T05:00:00-03:00,o3,3,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T08:00:00.000Z,2016-04-24T05:00:00-03:00,no2,50,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T08:00:00.000Z,2016-04-24T05:00:00-03:00,pm25,54,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T07:00:00.000Z,2016-04-24T04:00:00-03:00,o3,3,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T07:00:00.000Z,2016-04-24T04:00:00-03:00,no2,58,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T07:00:00.000Z,2016-04-24T04:00:00-03:00,pm25,51,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T06:00:00.000Z,2016-04-24T03:00:00-03:00,o3,3,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T06:00:00.000Z,2016-04-24T03:00:00-03:00,no2,65,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T06:00:00.000Z,2016-04-24T03:00:00-03:00,pm25,52,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T05:00:00.000Z,2016-04-24T02:00:00-03:00,o3,3,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T05:00:00.000Z,2016-04-24T02:00:00-03:00,no2,72,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T05:00:00.000Z,2016-04-24T02:00:00-03:00,pm25,59,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T04:00:00.000Z,2016-04-24T01:00:00-03:00,pm25,52,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T04:00:00.000Z,2016-04-24T01:00:00-03:00,no2,89,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T04:00:00.000Z,2016-04-24T01:00:00-03:00,o3,3,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T02:00:00.000Z,2016-04-23T23:00:00-03:00,no2,97,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T02:00:00.000Z,2016-04-23T23:00:00-03:00,pm25,40,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T02:00:00.000Z,2016-04-23T23:00:00-03:00,o3,11,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T01:00:00.000Z,2016-04-23T22:00:00-03:00,no2,98,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T01:00:00.000Z,2016-04-23T22:00:00-03:00,pm25,27,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T01:00:00.000Z,2016-04-23T22:00:00-03:00,o3,15,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T00:00:00.000Z,2016-04-23T21:00:00-03:00,pm25,14,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T00:00:00.000Z,2016-04-23T21:00:00-03:00,no2,89,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-24T00:00:00.000Z,2016-04-23T21:00:00-03:00,o3,17,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T23:00:00.000Z,2016-04-23T20:00:00-03:00,o3,36,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T23:00:00.000Z,2016-04-23T20:00:00-03:00,no2,57,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T23:00:00.000Z,2016-04-23T20:00:00-03:00,pm25,4,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T22:00:00.000Z,2016-04-23T19:00:00-03:00,pm25,9,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T22:00:00.000Z,2016-04-23T19:00:00-03:00,o3,72,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T22:00:00.000Z,2016-04-23T19:00:00-03:00,no2,33,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T21:00:00.000Z,2016-04-23T18:00:00-03:00,o3,106,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T21:00:00.000Z,2016-04-23T18:00:00-03:00,pm25,12,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T21:00:00.000Z,2016-04-23T18:00:00-03:00,no2,14,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T20:00:00.000Z,2016-04-23T17:00:00-03:00,no2,8,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T20:00:00.000Z,2016-04-23T17:00:00-03:00,pm25,8,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T20:00:00.000Z,2016-04-23T17:00:00-03:00,o3,113,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T19:00:00.000Z,2016-04-23T16:00:00-03:00,o3,102,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T19:00:00.000Z,2016-04-23T16:00:00-03:00,no2,7,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T19:00:00.000Z,2016-04-23T16:00:00-03:00,pm25,12,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T18:00:00.000Z,2016-04-23T15:00:00-03:00,no2,7,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T18:00:00.000Z,2016-04-23T15:00:00-03:00,o3,103,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T18:00:00.000Z,2016-04-23T15:00:00-03:00,pm25,12,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T17:00:00.000Z,2016-04-23T14:00:00-03:00,o3,102,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T17:00:00.000Z,2016-04-23T14:00:00-03:00,pm25,7,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T17:00:00.000Z,2016-04-23T14:00:00-03:00,no2,6,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T16:00:00.000Z,2016-04-23T13:00:00-03:00,pm25,3,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T16:00:00.000Z,2016-04-23T13:00:00-03:00,o3,95,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T16:00:00.000Z,2016-04-23T13:00:00-03:00,no2,6,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T15:00:00.000Z,2016-04-23T12:00:00-03:00,pm25,2,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T15:00:00.000Z,2016-04-23T12:00:00-03:00,o3,99,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T15:00:00.000Z,2016-04-23T12:00:00-03:00,no2,9,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T14:00:00.000Z,2016-04-23T11:00:00-03:00,pm25,0,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T14:00:00.000Z,2016-04-23T11:00:00-03:00,no2,17,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T14:00:00.000Z,2016-04-23T11:00:00-03:00,o3,83,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T13:00:00.000Z,2016-04-23T10:00:00-03:00,o3,71,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T13:00:00.000Z,2016-04-23T10:00:00-03:00,no2,45,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T13:00:00.000Z,2016-04-23T10:00:00-03:00,pm25,20,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T12:00:00.000Z,2016-04-23T09:00:00-03:00,o3,58,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T12:00:00.000Z,2016-04-23T09:00:00-03:00,pm25,27,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T12:00:00.000Z,2016-04-23T09:00:00-03:00,no2,41,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T11:00:00.000Z,2016-04-23T08:00:00-03:00,o3,20,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T11:00:00.000Z,2016-04-23T08:00:00-03:00,pm25,12,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T11:00:00.000Z,2016-04-23T08:00:00-03:00,no2,45,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T10:00:00.000Z,2016-04-23T07:00:00-03:00,pm25,16,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T10:00:00.000Z,2016-04-23T07:00:00-03:00,no2,45,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T10:00:00.000Z,2016-04-23T07:00:00-03:00,o3,2,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T09:00:00.000Z,2016-04-23T06:00:00-03:00,pm25,13,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T09:00:00.000Z,2016-04-23T06:00:00-03:00,no2,52,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T09:00:00.000Z,2016-04-23T06:00:00-03:00,o3,1,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T08:00:00.000Z,2016-04-23T05:00:00-03:00,pm25,13,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T08:00:00.000Z,2016-04-23T05:00:00-03:00,o3,5,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T08:00:00.000Z,2016-04-23T05:00:00-03:00,no2,52,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T07:00:00.000Z,2016-04-23T04:00:00-03:00,pm25,11,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T07:00:00.000Z,2016-04-23T04:00:00-03:00,no2,51,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T07:00:00.000Z,2016-04-23T04:00:00-03:00,o3,7,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T06:00:00.000Z,2016-04-23T03:00:00-03:00,o3,9,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T06:00:00.000Z,2016-04-23T03:00:00-03:00,no2,49,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T06:00:00.000Z,2016-04-23T03:00:00-03:00,pm25,13,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T05:00:00.000Z,2016-04-23T02:00:00-03:00,pm25,10,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T05:00:00.000Z,2016-04-23T02:00:00-03:00,no2,46,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T05:00:00.000Z,2016-04-23T02:00:00-03:00,o3,14,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T04:00:00.000Z,2016-04-23T01:00:00-03:00,pm25,8,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T04:00:00.000Z,2016-04-23T01:00:00-03:00,o3,20,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T04:00:00.000Z,2016-04-23T01:00:00-03:00,no2,42,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T02:00:00.000Z,2016-04-22T23:00:00-03:00,no2,31,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T02:00:00.000Z,2016-04-22T23:00:00-03:00,o3,41,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T02:00:00.000Z,2016-04-22T23:00:00-03:00,pm25,12,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-04-23T01:00:00.000Z,2016-04-22T22:00:00-03:00,no2,12,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
