location,city,country,utc,local,parameter,value,unit,attribution
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T13:00:00.000Z,2016-06-15T10:00:00-03:00,pm25,29,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T13:00:00.000Z,2016-06-15T10:00:00-03:00,o3,0,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T12:00:00.000Z,2016-06-15T09:00:00-03:00,o3,0,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T12:00:00.000Z,2016-06-15T09:00:00-03:00,pm25,38,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T12:00:00.000Z,2016-06-15T09:00:00-03:00,no2,82,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T11:00:00.000Z,2016-06-15T08:00:00-03:00,no2,57,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T11:00:00.000Z,2016-06-15T08:00:00-03:00,pm25,28,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T11:00:00.000Z,2016-06-15T08:00:00-03:00,o3,0,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T10:00:00.000Z,2016-06-15T07:00:00-03:00,pm25,40,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T10:00:00.000Z,2016-06-15T07:00:00-03:00,no2,43,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T10:00:00.000Z,2016-06-15T07:00:00-03:00,o3,0,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T09:00:00.000Z,2016-06-15T06:00:00-03:00,pm25,36,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
